name,address,cuisine,menu_items,price_range,rating,opening_hours,reviews,food_img
888 Chicken Rice,"1820-1822 Phatthanakan Road, Bangkok (The shop is between Soi Phatthanakan 48 and 50)","One-dish meal, noodles","Steamed rice topped with chicken, Duck noodles and roast pork, Crispy pork wonton noodles, Duck noodles and crispy pork, Wonton noodles with red pork and crispy pork, Crispy pork dumplings, Duck dumplings, Spicy pork rib soup, Duck dumplings and crispy pork, Crispy pork noodles, Spicy stewed cartilage",50-100,3.7,7.00-22.00,"Reviewer 1: 
Chicken shop with a variety of menu items.
Price per person: less than 100 baht.
Signature menu: Chicken rice, Che Po rice.
This shop has a parking lot behind the shop. There is a lot of parking. You can walk in through the back of the shop. This time we ordered Take away. The shop had a lot of orders. There were a lot of riders waiting in front of the shop. But it didn't take long to wait. The food was well-packed, a lot of quantity, and the price was not expensive. The menus that we tried were: Khao Che Po is rice with crispy pork, duck, and red pork. The sauce tasted good. They gave a lot of meat. The crispy pork was nice and crispy. Chicken rice, no skin, gave a lot of chicken. The rice was not oily. The sauce tasted good.

Reviewer 2: 
The shop is spacious, the price is not expensive, and the service is good.
Price per person: less than 100 baht.
Signature menu: Chicken rice.
Spacious parking lot, many menus to choose from. At noon, there are a lot of people. The chicken rice is delicious. The fried chicken is a bit dry, so it's a bit hard. But everything else is delicious, especially the stuffed dessert and the steamed cup cake. Very delicious. The coconut milk is rich, fragrant, sweet, and creamy. The staff provides good service.

Reviewer 3: 
Delicious dumplings, red pork, duck, cut into large pieces.
Price per person: 101 - 250 baht.
Signature menu: Duck and red pork wonton noodles.
I like that there is a parking lot behind the shop. Today I was hungry on the way home, so I stopped to try it. There were quite a few people in the shop. I ordered dry wonton noodles (duck + roast pork). It was delicious, especially the wontons. The noodles were just okay. The duck and roast pork were cut into large pieces. The stewed bitter melon with mushrooms was soft. I guess since I'm old, I ate it and the bitter melon wasn't bitter at all. It was actually sweet. I was full for another meal.
",https://img.wongnai.com/p/1920x0/2020/03/17/237bcfe0fbc94822afb9d6784c81c1bc.jpg
At Ta Rote,"59/3 Sukhumvit Soi 39, Bangkok (near Bio House)
800 m. from BTS Phrom Phong",Thai food,"Stir-fried morning glory with egg, Braised pork eggs, Pomelo salad, Crab curry with betel leaves and butterfly pea flower, Fried sea bass with fish sauce, Sea bass in red curry sauce, Pretend shrimp, Miang kham bua luang, Spicy prawn soup, Roasted duck curry",501-1000,3.6,11.00-22.00,"Reviewer 1: 
Enjoy authentic Thai food on a relaxing long holiday.
Price per person: 501 - 1,000 baht.
Signature menu: Braised pork eggs.
At-Ta-Rote Sukhumvit 39 Ep 825 (8), Thai restaurant At-Ta-Rote, an ancient Thai restaurant with royal recipes and authentic Thai recipes, located in Sukhumvit Soi 39, with parking available. 🌶️ The restaurant offers a menu of delicious Thai food and refreshing drinks. 🥢 The braised pork egg menu is a recommended dish for this meal. The taste is well-rounded and suitable for all ages.

Reviewer 2:
The shop has a good atmosphere and is full of foreigners.
Price per person: 501 - 1,000 baht.
A Thai restaurant that doesn't have very strong flavors. It's suitable for bringing foreign friends to taste Thai food. The flavors are pleasing to foreigners, but Thais can eat it just fine. However, I don't feel like coming back. There's something a little strange: the pork stew. I usually eat stewed pork, but this one is spicy, which is quite unusual.

Reviewer 3:
Thai restaurants can show off their plate decorations.
Price per person: 501 - 1,000 baht.
Signature dishes: Pomelo salad, Lotus leaf Miang Kham, Beef Massaman curry.
Thai food is beautifully decorated. If you bring a foreigner here, they'll like it. Even Thai people are amazed at how beautiful it is and won't stop taking pictures. The food we ordered included Miang Kham, Bua Luang, Massaman beef, bread, pomelo salad, and much more.
Atmosphere: The shop has a good atmosphere. There are many seats to accommodate customers. You can sit comfortably.
Taste: It's delicious and tasty. The dishes are well presented. It's clean and looks delicious.
Price: There are many menus. The prices are standard and reasonable.
Service: They welcome customers well, smile and are cheerful. They recommend tables and take care of them.",https://production-data.worldofmouth.app/images/a35f026c-ec9d-43e3-b9ec-e67d8e1b2b1d-1080x1080.jpg
Baan Klang Nam (บ้านกลางน้ำ),"288, Rama III Soi 14, Bang Kho Lae, Bangkok, 10120, Thailand Bangkok (The shop is at the end of Soi 14 on the banks of the Chao Phraya River) ","Thai food, riverside restaurant","Fried sea bass with fish sauce, Mango sticky rice,Grilled large shrimp, Crab curry powder, WInged bean salad,Fresh shrimp chilli paste, Fried sea bass with fish sauce, Steamed crab meat curry, Stir-fried bitter melon shoots, Lotus garden steamed curry, Grilled large river prawns",251-1000,3.8,10.00-22.00,"Reviewer 1: 
Famous Thai restaurant in the Rama III area.
Price per person: 251 - 500 baht.
Signature dishes: Steamed crab meat in banana leaves, stir-fried bitter melon shoots, sour curry with shrimp and cha-om eggs, stir-fried catfish with chili paste.
Today, we came to celebrate Tae's birthday at a restaurant called ""Baan Klang Nam"" on Rama III Road.
First menu item: Green curry with catfish balls. The fish balls were mixed with flour (with a little fish meat). The soup was sweet and spicy, with a moderate aroma of green curry paste. It was delicious.
Second menu item: Oyster omelet. The flour was soft, with oysters, and the aroma of chicken eggs was just right. It was delicious.
Third menu item: Sour curry with fried shrimp and acacia shoots. The shrimps were fried with acacia shoots, which were not mushy. The soup was sweet, sour, and spicy. It was delicious.

Reviewer 2:
Every dish is very delicious. The fried sea bass with garlic is the most delicious.
Signature dishes: Suanbua steamed fish curry, sticky rice with mango, butter-baked scallops, oysters, pad thai, pineapple fried rice, fried sea bass with garlic.
We went for lunch, 12 people, and ordered a lot of food because everyone was hungry.
The food came in big portions.
The fried fish was a very big plate and very delicious.
We asked to wrap the leftover garlic. Haha, we laughed so much when we asked to wrap it. Everyone laughed so hard. It was so delicious that everyone praised it.
The Pad Thai was also delicious and rich. The noodles were very good.
The oysters were very fresh and big.
The scallops baked with butter were highly recommended.

Reviewer 3:
River view, variety of food.
Price per person: 501 - 1,000 baht.
Signature dishes: Khao Tang Na Tang, Winged bean salad, Fried mango seeds.
The shop is located on the bank of the Chao Phraya River.
There is parking in front of the shop and 2-3 other spots.
During high tide, water splashes into the shop a little.
The menu has a variety of dishes. Seafood is charged by weight, and some are priced by plate. There is a lot of variety.
The taste of the food is up to standard.
I like the squid stir-fried with salted eggs and winged bean salad.
The price is in the middle to high range. Six people ate for over 5 thousand baht.
The service is good and fast",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/5c/8e/bc/stir-fried-chicken-with.jpg?w=1200&h=-1&s=1
Bamee Kon Sae Lee (บะหมี่คนแซ่ลี),"402, Saensabai, Phra Khanong, Khlong Toei, Bangkok, Bangkok (Temporarily moved the store location. It is in Soi Sukhumvit 38. You can come according to the pin.)","Chinese food, one-dish meals, noodles","Crab fried rice, Plain noodles, Crispy pork noodles, Duck on rice, Fried rice with red pork and chinese sausage, Saelee fried rice, Shrimp dumplings, Crispy pork rice, Noodles with wonton",50-100,3.8,6.30-23.00,"Reviewer 1:
A famous noodle shop at the entrance of Thonglor Soi on Sukhumvit Road. The shop is always full of people.
Price per person: 101 - 250 baht.
Signature menu: Noodles with wontons.
Normally I order delivery. Today I had time, so I drove to eat at the shop to see how it is.
Atmosphere: A small noodle shop with a clear red sign at the entrance of Thonglor Soi, near the traffic light intersection. There is a cabinet with crispy pork hanging in front of the shop. Inside, there are tables for groups or families, including an introvert table 🤣, which is where I sat today. There are chairs for eating alone, looking at the mirror. Next to the fan, the air is cool and comfortable. The food at the shop includes various noodles.

Reviewer 2:
I've been working in this area for eight years, and this is the first time I've tried it.
Price per person: less than 100 baht.
Signature menu: Crab fried rice.
Looking for a place to eat after work with friends, we ended up at Lee's Noodles, a famous restaurant in Thonglor. I've worked around here for a long time but have never eaten there.
Atmosphere: The restaurant feels like a hot seat; you shouldn't sit there for a long time. It's suitable for quick visits.
I ordered one bowl of noodles each and shared a medium plate of fried rice with a friend. I tried the duck noodles and was very impressed with the noodles. They were small and crunchy. The fried rice was fragrant, dry, and crumbly. It was delicious.

Reviewer 3:
Delicious noodles, near BTS.
Price per person: less than 100 baht.
Signature menu: Plain noodles.
This noodle shop in the Thonglor area is not far from BTS. The homemade noodles are soft and chewy, very delicious. Eating noodles alone is already great.
Toppings: There are many options to choose from, such as roast duck, crispy pork, red pork, shrimp wonton.
There is also a fried rice menu. I ordered fried rice with salted fish and got a lot of salted fish, which was very salty.",https://images.deliveryhero.io/image/fd-th/Products/46343125.jpg?width=%s
BARBON ,"1222/1 Songwat Road, Chakkrawat Subdistrict, Bangkok (3rd floor, URBY Building) ","Rooftop, bar, pub, bar ","ACC, Salmon Quiche, Barbon Highball, Long river, Beer,, Gin, Whisky, Jungle Bird",251-500,3.8,18.00-23.00,"Reviewer 1:
The bartender was really funny 🤣.
First impression: The bartender gave great recommendations. When I asked about umeshu, he explained the differences between the varieties. My friend pointed at one bottle, and he jokingly said, ""Not for sale, it's for me to drink!"" 🤣🤣🤣 Why put it there then? 555. My friend ordered one that was actually for sale, and it tasted great.
I had a Gin & Tonic made with gin infused with blackberry & raspberry, mixed with holy tonic water. It felt divine and tasted fantastic.
I loved that the bartender even cut new ice cubes, saying smaller cubes melt too fast, and expensive gin shouldn’t be watered down 🤣.
Highly impressed! If you’re looking for some playful banter with the bartender, this place is perfect. They have a wide selection of gin and all the basic cocktails at reasonable prices (251 - 500 baht). Highly recommended for a chill evening!

Reviewer 2:
Barbon is our secret spot with my partner 🥰.
During the day: It’s a café, and at night, it transforms into a bar.
The serene atmosphere with the Chao Phraya River view is perfect for sipping a drink and watching boats pass by. We love this relaxing vibe.
Parking is available on the street in front of the shop, just be mindful of the odd-even parking rules.
The bar opens from 11:00 AM to 11:00 PM.
I ordered the Passionista for 270 baht, which was delicious.
Overall: It’s a lovely spot to unwind, with drinks priced around 251 - 500 baht.

Reviewer 3:
This café-restaurant is located along the Chao Phraya River in the Yaowarat area.
Finding parking might be a bit tricky if you drive. The shop is in a shophouse on the third floor.
Ambiance: Features artistic décor, and there are separate zones for the café and restaurant, though you can still share tables.
I tried the Salmon Quiche, which was tasty and reasonably priced at 101 - 250 baht.
The riverside view adds to the experience, making it a great spot to enjoy beautiful scenery.",https://img.wongnai.com/p/1920x0/2023/01/23/a38474b028204b22b6fb0a4b31f74a22.jpg
Blue Elephant Cooking School and Restaurant (บลู เอเลเฟ่นท์),"233 Sathorn Tai Road, Bangkok (in front of the Thai-Chinese Chamber of Commerce Building) ",Thai,"Benja chicken turmeric soup, sweet liver, floe gras, three flavor salad, green curry with phonyangkham beef, tomyum with crab",1000-2000,4.4,10.00-20.00,"Reviewer 1:
Price per person: 101 - 250 baht.
I tried the new ready-to-eat Chicken Biryani at Gourmet Market Paragon from Azian by Blue Elephant. The staff made the biryani fresh on the spot, and it tasted amazing. The chicken was marinated perfectly, with plenty of meat, and the sauce was spicy but not overwhelming. The salad was also fresh and crisp.

Reviewer 2:
Blue Elephant is a favorite among foreigners, especially my Japanese friends who are fans of Lisa.
The taste caters well to international palates, and the service is excellent, with staff recommending dishes in English. Each dish is served at the perfect pace, and female guests even receive orchids as a parting gift. It’s a charming dining experience that my friends really enjoy.

Reviewer 3:
Price per person: more than 1,000 baht.
I had high expectations for Blue Elephant but left disappointed. The service experience was chaotic; even though I called ahead, our table wasn't ready, and our group of nine ended up standing around awkwardly. The staff's handling of our set menu order wasn't as professional as expected. It left me unimpressed, and I don’t plan on returning.",https://blueelephant.com/wp-content/uploads/2022/02/15326506_1519280864751903_3487621986525316962_n.jpg
Boon Tong Kiat Singapore Chicken Rice,"440/5, Sukhumvit Soi 55, Khlong Tan Nuea, Bangkok, 10110, Thailand Bangkok (Located at: Opposite Thonglor Soi 15, Opposite J Avenue) ","One-dish meal, Chinese food","Steamed rice topped with chicken, Singaporean chicken rice, Chicken leg rice,  Roasred duck noodles,Turnip cake, Chicken rice, Crispy pork, Medium plate of chicken, Bak kut teh, Pork ribs rice with crispy pork",101-250,3.7,9.00-21.00,"Reviewer 1:
Singaporean Chicken Rice
Price per person: less than 100 baht.
Signature menu: Singaporean Chicken Rice.
Boon Tong Kiat: Think of soft roasted chicken rice in Thonglor, you must come here.
The shop has many floors.
It’s not just chicken rice on the menu; there are many single dishes like roasted duck on rice.
The Singaporean chicken rice features very soft chicken, with bean sprouts mixed with sesame oil at the bottom, which is very refreshing.
The dipping sauce is delicious and customizable.
The chicken noodles and roasted duck on rice are also very delicious with soft meat.
Atmosphere: Old and should be renovated because the tables are limited.

Reviewer 2:
Famous chicken rice with bean sprouts
Price per person: 101 - 250 baht.
Famous chicken rice with bean sprouts and legendary deliciousness.
The chicken rice is excellent, paired with very delicious crispy pork.
This shop has been open for almost 20 years and is considered one of the first Singaporean chicken rice shops in Thailand.
The Hainanese-style chicken rice is the highlight, featuring soft chicken that is repeatedly poured with sauce until juicy, served with yellow rice.
It’s different because it’s served with boiled bean sprouts.
Dipping sauces: The ginger sauce and orange chili sauce are highly recommended.
The crispy pork is also delicious with firm meat, thin crispy skin, and not too oily.
This shop has a unique charm.

Reviewer 3:
The chicken rice is soft and juicy, the roast pork is also soft, and the crispy pork has crispy skin and tender meat. Delicious.
Price per person: less than 100 baht.
Signature menus: Chicken leg rice, Singaporean chicken rice, Chicken rice, Roast pork, and Crispy pork chicken rice.
Boon Tong Kiat Singaporean Chicken Rice in Thonglor is a restaurant we always wanted to eat at, but sometimes the traffic is so bad that we give up.
Today we came in the afternoon when the traffic wasn't so bad, so we got to sit and eat at the restaurant.
Parking: We parked at J Avenue on the opposite side. Free parking for the first 30 minutes. Stamp the parking card for free for the first hour.
We ordered Singaporean Chicken Rice and Roast Pork and Crispy Pork Chicken Rice, 1 bottle of water, and 2 ice cubes for a total of 229 baht.
The rice was fragrant and soft, slightly salty, with a yellowish-egg color. The chicken was big and soft.
",https://farm1.static.flickr.com/184/428885406_e8187b51df_o.jpg
Brown Sugar The Jazz Boutique (บราวน์ซูการ์แจ๊สผับ แอนด์ เรสทัวรองต์) ,"18, Soi Nana, Pom Prap Sattru Phai, Bangkok, 10100, Thailand Bangkok (next to the Decoration Group, Department of Public Works, Bangkok) ","Pub, Bar ","Nachos, So Co Brownsugar, Hitachino espresso stout, nana lady, mojito, gin & tonic, blucchetta, Spaghetti with tom yum seafood",251-500,4,17.00-01.00,"Reviewer 1:
The shop has moved to a new zone. At 9:45 PM, there will be gypsy jazz.
Price per person: 251 - 500 baht.
Signature menu: Nana Lady.

#wongnaisongkran2023: The original brand in a new area, combined with other bars as a drink zone.
The familiar stage area of the old shop has been moved up to the 2nd floor.
Live jazz music is available at 7:00 PM and 9:45 PM. The band plays very well, and the music here never disappoints.
Plum Soda: Every sip has soft plum pulp following through the straw. Fun to chew, sour, sweet, and refreshing.
Nana Lady: One of the signature cocktails, made with fermented kombucha and fragrant, sweet, fresh gin.

Reviewer 2:
Jazz chill.
Price per person: 501 - 1,000 baht.
Signature dishes: Imported beer, German pork knuckle, Pizza Pepperoni, Nachos, So Co Brownsugar.
Nachos are a good option to eat and relax.
The Pepperoni Pizza is okay.
The German pork knuckle is delicious, though not many imported beers are available.
So Co Brownsugar: A lot of menu options, but most importantly, the band on Saturday nights is the best.
The singing is very good, and the atmosphere is enjoyable. It’s so good that I didn’t want to leave.

Reviewer 3:
Good music, okay drinks.
Price per person: more than 1,000 baht.
Signature menu: Gin & Tonic, Mojito.
I haven’t been to Brown Sugar since the shop was located at Phra Sumen.
The shop is spacious.
The jazz music here leans more towards singing rather than saxophone performances.
Service: Just okay.
We ordered only one item, a mix of fried food, which was good.
The cocktails were good, but the alcohol was a bit weak.
I was a bit upset with the table next to me; it was very loud, which made it hard to enjoy the music.",https://img.wongnai.com/p/1920x0/2016/10/15/cfd675fdfee94790a86609cc3dea8a5a.jpg
Charm Eatery and Bar (ชาม สาธร),"122 Soi Suksa Witthaya, Silom Subdistrict, Bang Rak District, Bangkok (can enter from both Soi Silom 9 and Soi Sathorn 12, opposite 7-Eleven) ","Pub, Bar, Thai food, Fusion food, live music","Stir fried three slinky spices, Rice vermicelli salad, Stir fried minced pork with salted fish, Sun dried pork, Stir fried young chili with eggs",501-1000,4.1,11.00-22.30,"Reviewer 1:
This time I came at noon and had already reserved a table.
The food came out quite quickly and was delicious.
The music, which impressed me before, still impressed me today.
Food highlights:
The pizza was incredibly delicious.
The duck was thick, soft, and not smelly.
The fried larb was good, crispy, and fragrant.
The stir-fried three stinky dishes were delicious.
The son-in-law eggs, stir-fried morning glory, and stir-fried shrimp with curry powder were all good and plentiful.

Reviewer 2:
All the food is delicious. The atmosphere is chill and suitable for celebrating.
Price per person: 501 - 1,000 baht.
Signature dishes: Green curry chicken pizza, fried mushrooms with herbs, fried larb, duck breast salad, Thai spaghetti.
This shop is at the end of Soi Sathorn 12.
Parking: Valet Parking service is available, solving the problem of finding a spot.
I’ve been to this shop three times, and all the food tastes great, both Thai and Western dishes.
Recommended menus: Green curry pizza, spaghetti, and fried mushrooms.
Drinks: Beer has a Happy Hour promotion or free glasses. The wine is not very delicious.
Desserts: The cake is very good, not too sweet. The chocolate is rich, and the cheesecake is smooth.
From 7 PM onwards, there’s live music. If you sit on the 1st floor, it can be a bit difficult to talk due to the sound.

Reviewer 3:
Great food, good vibe, wonderful service. Everything is complete at Charm Eatery & Bar.
Price per person: 501 - 1,000 baht.
Location: At the end of Soi Sathorn 12, with parking available.
Suitable for: Parties and gatherings with friends after work.
This restaurant serves both Thai and European food with excellent taste.
There are many menus for snacks and single dishes to choose from.
Most importantly, there’s live music to enjoy.
Every time I come to this restaurant, I am never disappointed.
The service is also excellent.
Highlights: Sun-dried beef, Nam Liap rice, shrimp.
",https://www.bkkmenu.com/files/2022/08/Charm-8.jpg
"Chinese herbal stewed duck, royal style","87/42 Phatthanakan Road, Bangkok (on the main road between Soi Phatthanakan 47-49)",noodles,"Braised duck on rice, Minced duck with glass noodles, Braised duck, All kinds of duck, Fried banana",50-100,4.2,8.00-14.00,"Reviewer 1:
The old Chinese herbal duck noodle shop is definitely delicious. Price per person: less than 100 baht. Signature menu: Braised duck, all kinds of duck, noodles, egg noodles. This is an old, original duck noodle shop. The soup is very delicious, fragrant with Chinese herbs. The stewed duck is very soft and tender, and the duck blood is bouncy. The shop has spicy and fragrant chili paste for seasoning, which is really good. Parking can be difficult; you have to drive past the shop into the alley to find a spot, but it’s worth it. Delicious noodles, royal palace style. Highly recommended to try.

Reviewer 2:
Price per person: 101 - 250 baht. A noodle shop selling stewed duck and braised duck. The soup is fragrant, sweet, and rich. In addition to noodles, they also serve duck on rice. This shop only accepts cash, and there is limited parking behind the shop. The shop is quite busy, but it’s worth trying. Ratings: Price: 5/5, Quality: 5/5, Deliciousness: 5/5, Cleanliness: 5/5, Speed: 5/5, Service: 5/5, Place: 5/5, Value for money: 5/5.

Reviewer 3:
Delicious stewed duck noodles, royal palace style. Price per person: less than 100 baht. Duck stewed in Chinese royal herbs. Located in Phatthanakan, under the bridge before turning right to Seacon Square, with parking available in the alley behind the shop. Opening hours are 8:00 a.m. - 2:00 p.m. Duck noodles with minced duck meat and stewed duck are available. Special dry noodles with large noodles and special soup cost 60 baht. The duck is soft, and the stewed soup is fragrant with Chinese herbs. Large, flat yellow noodles are very delicious. Duck parts and organs are available to buy separately. A whole festival duck costs 500 baht. Ratings: Taste: 8.5, Price: 7, Service: 5, Ingredients: 7.5, Cleanliness: 6.",https://www.mayway.com/media/wysiwyg/blog/2024-blogs/stewed-duck-sm.jpg
